type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
short,2025-12-26 18:30:00+00:00,2025-12-26 19:20:00+00:00,211.1830029296875,211.28399658203125,-12.1,-12.1,Signal (ST Flip / EMA Cross)
short,2025-12-26 21:55:00+00:00,2025-12-26 22:00:00+00:00,211.198994140625,211.36700439453125,-18.8,-18.8,Signal (ST Flip / EMA Cross)
short,2025-12-29 00:00:00+00:00,2025-12-29 01:00:00+00:00,210.8810009765625,211.15720520019534,-27.6,-27.62,Stop Loss
long,2025-12-29 01:50:00+00:00,2025-12-29 04:10:00+00:00,211.16100646972657,211.15199279785156,-2.9,-2.9,Signal (ST Flip / EMA Cross)
long,2025-12-29 08:45:00+00:00,2025-12-29 12:05:00+00:00,210.78600646972657,210.81891326904295,3.3,3.29,Stop Loss
short,2025-12-29 12:10:00+00:00,2025-12-29 15:45:00+00:00,210.74100158691405,210.8300018310547,-10.9,-10.9,Signal (ST Flip / EMA Cross)
short,2025-12-29 15:50:00+00:00,2025-12-29 18:05:00+00:00,210.61200378417968,210.6580047607422,-6.6,-6.6,Signal (ST Flip / EMA Cross)
short,2025-12-29 22:10:00+00:00,2025-12-29 23:25:00+00:00,210.67500732421874,210.88299560546875,-22.8,-22.8,Signal (ST Flip / EMA Cross)
long,2025-12-29 23:25:00+00:00,2025-12-30 04:30:00+00:00,210.90299560546876,210.99400329589844,7.1,7.1,Signal (ST Flip / EMA Cross)
short,2025-12-30 10:45:00+00:00,2025-12-30 11:10:00+00:00,210.64200256347655,210.74600219726562,-12.4,-12.4,Signal (ST Flip / EMA Cross)
short,2025-12-30 11:20:00+00:00,2025-12-30 13:15:00+00:00,210.64400146484374,210.69000244140625,-6.6,-6.6,Signal (ST Flip / EMA Cross)
long,2025-12-30 13:20:00+00:00,2025-12-30 14:05:00+00:00,210.71200134277345,210.5489959716797,-18.3,-18.3,Signal (ST Flip / EMA Cross)
long,2025-12-30 14:30:00+00:00,2025-12-30 14:40:00+00:00,210.69999267578126,210.56399536132812,-15.6,-15.6,Signal (ST Flip / EMA Cross)
short,2025-12-30 16:10:00+00:00,2025-12-30 16:45:00+00:00,210.45300720214843,210.66799926757812,-23.5,-23.5,Signal (ST Flip / EMA Cross)
short,2025-12-30 17:50:00+00:00,2025-12-30 18:10:00+00:00,210.56700561523436,210.62100219726562,-7.4,-7.4,Signal (ST Flip / EMA Cross)
short,2025-12-30 21:00:00+00:00,2025-12-30 21:10:00+00:00,210.62599609375,210.6649932861328,-5.9,-5.9,Signal (ST Flip / EMA Cross)
short,2025-12-30 21:25:00+00:00,2025-12-30 21:35:00+00:00,210.61200378417968,210.67799377441406,-8.6,-8.6,Signal (ST Flip / EMA Cross)
short,2025-12-30 21:45:00+00:00,2025-12-30 23:40:00+00:00,210.60699890136718,210.63800048828125,-5.1,-5.1,Signal (ST Flip / EMA Cross)
short,2025-12-31 00:45:00+00:00,2025-12-31 02:00:00+00:00,210.52899597167968,210.58200073242188,-7.3,-7.3,Signal (ST Flip / EMA Cross)
short,2025-12-31 14:55:00+00:00,2025-12-31 15:50:00+00:00,210.78400085449218,210.8153060913086,-3.1,-3.13,Stop Loss
long,2025-12-31 16:10:00+00:00,2025-12-31 17:10:00+00:00,210.97700073242189,210.7740020751953,-22.3,-22.3,Signal (ST Flip / EMA Cross)
long,2025-12-31 17:15:00+00:00,2025-12-31 19:45:00+00:00,210.87200500488282,210.86500549316406,-2.7,-2.7,Signal (ST Flip / EMA Cross)
short,2025-12-31 19:45:00+00:00,2025-12-31 20:00:00+00:00,210.84500549316405,211.0030059814453,-17.8,-17.8,Signal (ST Flip / EMA Cross)
long,2025-12-31 20:05:00+00:00,2025-12-31 23:55:00+00:00,211.09099914550782,211.01009216308591,-8.1,-8.09,Stop Loss
short,2026-01-01 01:00:00+00:00,2026-01-01 22:00:00+00:00,210.98900268554686,211.12560272216797,-13.7,-13.66,Stop Loss
long,2026-01-01 23:05:00+00:00,2026-01-02 00:45:00+00:00,211.27999450683595,211.08900451660156,-21.1,-21.1,Signal (ST Flip / EMA Cross)
long,2026-01-02 01:35:00+00:00,2026-01-02 06:10:00+00:00,211.22100402832032,211.30799865722656,6.7,6.7,Signal (ST Flip / EMA Cross)
long,2026-01-02 06:40:00+00:00,2026-01-02 07:15:00+00:00,211.41399719238282,211.3000030517578,-13.4,-13.4,Signal (ST Flip / EMA Cross)
short,2026-01-02 07:15:00+00:00,2026-01-02 08:10:00+00:00,211.2800030517578,211.36900329589844,-10.9,-10.9,Signal (ST Flip / EMA Cross)
long,2026-01-02 12:20:00+00:00,2026-01-02 12:30:00+00:00,211.01400329589845,210.90699768066406,-12.7,-12.7,Signal (ST Flip / EMA Cross)
long,2026-01-02 12:40:00+00:00,2026-01-02 17:05:00+00:00,211.03899719238282,211.16299438476562,10.4,10.4,Signal (ST Flip / EMA Cross)
short,2026-01-05 01:45:00+00:00,2026-01-05 04:35:00+00:00,211.03299377441405,211.04100036621094,-2.8,-2.8,Signal (ST Flip / EMA Cross)
short,2026-01-05 06:05:00+00:00,2026-01-05 09:45:00+00:00,210.97899291992186,210.86390533447266,11.5,11.51,Stop Loss
long,2026-01-05 09:45:00+00:00,2026-01-05 11:10:00+00:00,210.90299560546876,210.76300048828125,-16.0,-16.0,Signal (ST Flip / EMA Cross)
long,2026-01-05 11:15:00+00:00,2026-01-05 12:00:00+00:00,210.8550067138672,210.72999572753906,-14.5,-14.5,Signal (ST Flip / EMA Cross)
long,2026-01-05 12:15:00+00:00,2026-01-05 13:10:00+00:00,210.91300537109376,210.78500366210938,-14.8,-14.8,Signal (ST Flip / EMA Cross)
long,2026-01-05 13:55:00+00:00,2026-01-05 19:00:00+00:00,210.99700500488282,211.35899353027344,34.2,34.2,Signal (ST Flip / EMA Cross)
short,2026-01-05 19:00:00+00:00,2026-01-05 19:35:00+00:00,211.33899353027343,211.4949951171875,-17.6,-17.6,Signal (ST Flip / EMA Cross)
short,2026-01-06 01:55:00+00:00,2026-01-06 03:25:00+00:00,211.90300415039061,211.99200439453125,-10.9,-10.9,Signal (ST Flip / EMA Cross)
short,2026-01-06 04:15:00+00:00,2026-01-06 04:40:00+00:00,211.87300537109374,212.0070037841797,-15.4,-15.4,Signal (ST Flip / EMA Cross)
short,2026-01-06 05:25:00+00:00,2026-01-06 06:05:00+00:00,211.87199829101561,212.0030059814453,-15.1,-15.1,Signal (ST Flip / EMA Cross)
short,2026-01-06 15:30:00+00:00,2026-01-06 16:25:00+00:00,211.44099853515624,211.51499938964844,-9.4,-9.4,Signal (ST Flip / EMA Cross)
short,2026-01-06 16:30:00+00:00,2026-01-06 16:55:00+00:00,211.44099853515624,211.50900268554688,-8.8,-8.8,Signal (ST Flip / EMA Cross)
short,2026-01-06 19:00:00+00:00,2026-01-06 21:45:00+00:00,211.50200317382811,211.5189971923828,-3.7,-3.7,Signal (ST Flip / EMA Cross)
long,2026-01-06 21:45:00+00:00,2026-01-06 22:10:00+00:00,211.53899719238282,211.39599609375,-16.3,-16.3,Signal (ST Flip / EMA Cross)
short,2026-01-06 22:10:00+00:00,2026-01-06 23:15:00+00:00,211.37599609375,211.52200317382812,-16.6,-16.6,Signal (ST Flip / EMA Cross)
short,2026-01-07 00:40:00+00:00,2026-01-07 01:15:00+00:00,211.38800476074218,211.54600524902344,-17.8,-17.8,Signal (ST Flip / EMA Cross)
short,2026-01-07 03:30:00+00:00,2026-01-07 06:50:00+00:00,211.51900146484374,211.34500122070312,15.4,15.4,Signal (ST Flip / EMA Cross)
short,2026-01-07 09:25:00+00:00,2026-01-07 10:15:00+00:00,211.12700317382811,211.22000122070312,-11.3,-11.3,Signal (ST Flip / EMA Cross)
short,2026-01-07 21:30:00+00:00,2026-01-08 00:05:00+00:00,210.98900268554686,210.99200439453125,-2.3,-2.3,Signal (ST Flip / EMA Cross)
short,2026-01-08 22:00:00+00:00,2026-01-08 23:15:00+00:00,210.5370068359375,210.81199645996094,-29.5,-29.5,Signal (ST Flip / EMA Cross)
long,2026-01-09 07:35:00+00:00,2026-01-09 10:25:00+00:00,211.35599853515626,211.36700439453125,-0.9,-0.9,Signal (ST Flip / EMA Cross)
long,2026-01-12 00:00:00+00:00,2026-01-12 07:30:00+00:00,211.86800720214845,212.15989837646484,29.2,29.19,Stop Loss
short,2026-01-12 07:30:00+00:00,2026-01-12 08:55:00+00:00,212.14400146484374,212.322998046875,-19.9,-19.9,Signal (ST Flip / EMA Cross)
short,2026-01-12 22:00:00+00:00,2026-01-13 00:25:00+00:00,212.81099365234374,212.85899353027344,-6.8,-6.8,Signal (ST Flip / EMA Cross)
long,2026-01-13 07:10:00+00:00,2026-01-13 07:25:00+00:00,213.97100402832032,213.91099548339844,-8.0,-8.0,Signal (ST Flip / EMA Cross)
long,2026-01-13 07:55:00+00:00,2026-01-13 10:30:00+00:00,214.0689959716797,214.01800537109375,-7.1,-7.1,Signal (ST Flip / EMA Cross)
short,2026-01-13 10:30:00+00:00,2026-01-13 13:30:00+00:00,213.99800537109374,214.05259094238284,-5.5,-5.46,Stop Loss
long,2026-01-13 13:50:00+00:00,2026-01-13 14:40:00+00:00,214.08900024414064,213.85000610351562,-25.9,-25.9,Signal (ST Flip / EMA Cross)
long,2026-01-14 07:10:00+00:00,2026-01-14 07:15:00+00:00,214.05900146484376,213.97900390625,-10.0,-10.0,Signal (ST Flip / EMA Cross)
short,2026-01-14 22:05:00+00:00,2026-01-14 23:50:00+00:00,212.84900329589843,212.88099670410156,-5.2,-5.2,Signal (ST Flip / EMA Cross)
short,2026-01-15 01:05:00+00:00,2026-01-15 02:40:00+00:00,212.76500366210936,212.9409942626953,-19.6,-19.6,Signal (ST Flip / EMA Cross)
long,2026-01-15 02:40:00+00:00,2026-01-15 04:05:00+00:00,212.96099426269532,212.81399536132812,-16.7,-16.7,Signal (ST Flip / EMA Cross)
long,2026-01-15 04:30:00+00:00,2026-01-15 05:15:00+00:00,212.9750018310547,212.83799743652344,-15.7,-15.7,Signal (ST Flip / EMA Cross)
long,2026-01-15 06:25:00+00:00,2026-01-15 07:25:00+00:00,212.97599365234376,212.86739654541014,-10.9,-10.86,Stop Loss
short,2026-01-15 09:30:00+00:00,2026-01-15 18:00:00+00:00,212.92400024414061,212.23899841308594,66.5,66.5,Signal (ST Flip / EMA Cross)
short,2026-01-15 19:25:00+00:00,2026-01-15 19:40:00+00:00,212.16299865722655,212.2469940185547,-10.4,-10.4,Signal (ST Flip / EMA Cross)
short,2026-01-15 19:55:00+00:00,2026-01-15 21:05:00+00:00,212.18799255371093,212.2530059814453,-8.5,-8.5,Signal (ST Flip / EMA Cross)
short,2026-01-15 22:00:00+00:00,2026-01-15 23:05:00+00:00,212.07599304199218,212.2550048828125,-19.9,-19.9,Signal (ST Flip / EMA Cross)
short,2026-01-16 00:05:00+00:00,2026-01-16 04:45:00+00:00,212.136005859375,211.9199981689453,19.6,19.6,Signal (ST Flip / EMA Cross)
short,2026-01-16 17:40:00+00:00,2026-01-16 17:45:00+00:00,211.51199768066405,211.57899475097656,-8.7,-8.7,Signal (ST Flip / EMA Cross)
long,2026-01-19 02:15:00+00:00,2026-01-19 10:30:00+00:00,211.25800659179689,211.66799926757812,39.0,39.0,Signal (ST Flip / EMA Cross)
long,2026-01-19 11:10:00+00:00,2026-01-19 14:15:00+00:00,211.78600646972657,211.74400329589844,-6.2,-6.2,Signal (ST Flip / EMA Cross)
short,2026-01-19 14:15:00+00:00,2026-01-19 14:40:00+00:00,211.72400329589843,211.85299682617188,-14.9,-14.9,Signal (ST Flip / EMA Cross)
long,2026-01-19 20:05:00+00:00,2026-01-19 21:20:00+00:00,212.29499389648439,212.25599670410156,-5.9,-5.9,Signal (ST Flip / EMA Cross)
short,2026-01-19 21:35:00+00:00,2026-01-19 21:45:00+00:00,212.25499389648436,212.30799865722656,-7.3,-7.3,Signal (ST Flip / EMA Cross)
short,2026-01-19 21:55:00+00:00,2026-01-19 23:20:00+00:00,212.08800170898436,212.2689971923828,-20.1,-20.1,Signal (ST Flip / EMA Cross)
short,2026-01-20 00:20:00+00:00,2026-01-20 02:45:00+00:00,212.11900756835936,212.1699981689453,-7.1,-7.1,Signal (ST Flip / EMA Cross)
short,2026-01-20 03:00:00+00:00,2026-01-20 03:20:00+00:00,212.04199645996093,212.19200134277344,-17.0,-17.0,Signal (ST Flip / EMA Cross)
short,2026-01-20 08:45:00+00:00,2026-01-20 10:35:00+00:00,212.79700134277343,212.8942108154297,-9.7,-9.72,Stop Loss
long,2026-01-20 10:35:00+00:00,2026-01-20 11:05:00+00:00,212.91300537109376,212.65699768066406,-27.6,-27.6,Signal (ST Flip / EMA Cross)
long,2026-01-20 14:30:00+00:00,2026-01-20 15:55:00+00:00,212.57000305175782,212.51100158691406,-7.9,-7.9,Signal (ST Flip / EMA Cross)
short,2026-01-20 17:40:00+00:00,2026-01-20 20:40:00+00:00,212.52200744628905,212.56500244140625,-6.3,-6.3,Signal (ST Flip / EMA Cross)
short,2026-01-20 20:50:00+00:00,2026-01-20 21:00:00+00:00,212.46599243164061,212.5590057373047,-11.3,-11.3,Signal (ST Flip / EMA Cross)
short,2026-01-20 22:05:00+00:00,2026-01-20 22:45:00+00:00,212.45000122070311,212.6199951171875,-19.0,-19.0,Signal (ST Flip / EMA Cross)
short,2026-01-20 23:45:00+00:00,2026-01-21 00:00:00+00:00,212.41699645996093,212.55999755859375,-16.3,-16.3,Signal (ST Flip / EMA Cross)
short,2026-01-21 00:05:00+00:00,2026-01-21 00:10:00+00:00,212.51300476074218,212.61599731445312,-12.3,-12.3,Signal (ST Flip / EMA Cross)
short,2026-01-21 01:00:00+00:00,2026-01-21 05:05:00+00:00,212.49600646972655,212.49099731445312,-1.5,-1.5,Signal (ST Flip / EMA Cross)
long,2026-01-21 05:05:00+00:00,2026-01-21 07:00:00+00:00,212.51099731445314,212.39459228515625,-11.6,-11.64,Stop Loss
short,2026-01-21 07:05:00+00:00,2026-01-21 13:30:00+00:00,212.3600048828125,211.91900634765625,42.1,42.1,Signal (ST Flip / EMA Cross)
short,2026-01-21 16:40:00+00:00,2026-01-21 19:25:00+00:00,212.35899780273436,212.52340087890627,-16.4,-16.44,Stop Loss
long,2026-01-21 19:25:00+00:00,2026-01-21 22:00:00+00:00,212.5169940185547,212.41069946289062,-10.6,-10.63,Stop Loss
short,2026-01-21 23:10:00+00:00,2026-01-21 23:40:00+00:00,212.4830059814453,212.55499267578125,-9.2,-9.2,Signal (ST Flip / EMA Cross)
short,2026-01-21 23:45:00+00:00,2026-01-21 23:50:00+00:00,212.50499389648436,212.6230010986328,-13.8,-13.8,Signal (ST Flip / EMA Cross)
short,2026-01-22 00:20:00+00:00,2026-01-22 01:40:00+00:00,212.37500427246093,212.58900451660156,-23.4,-23.4,Signal (ST Flip / EMA Cross)
short,2026-01-22 08:25:00+00:00,2026-01-22 09:30:00+00:00,213.04100463867186,213.22900390625,-20.8,-20.8,Signal (ST Flip / EMA Cross)
short,2026-01-22 11:15:00+00:00,2026-01-22 12:55:00+00:00,212.89200256347655,213.21800231933594,-34.6,-34.6,Signal (ST Flip / EMA Cross)
